,code,smiley,CLDR,keywords
1540,U+1F191,🆑,CL button,CL | CL button
1541,U+1F192,🆒,COOL button,COOL | COOL button
1542,U+1F193,🆓,FREE button,FREE | FREE button
1543,U+2139,ℹ,information,i | information
1544,U+1F194,🆔,ID button,ID | ID button | identity
1545,U+24C2,Ⓜ,circled M,circle | circled M | M
1546,U+1F195,🆕,NEW button,NEW | NEW button
1547,U+1F196,🆖,NG button,NG | NG button
1548,U+1F17E,🅾,O button (blood type),blood type | O | O button (blood type)
1549,U+1F197,🆗,OK button,OK | OK button
1550,U+1F17F,🅿,P button,P | P button | parking
1551,U+1F198,🆘,SOS button,help | SOS | SOS button
1552,U+1F199,🆙,UP! button,mark | UP | UP! | UP! button
1553,U+1F19A,🆚,VS button,versus | VS | VS button
1554,U+1F201,🈁,Japanese “here” button,“here” | Japanese | Japanese “here” button | katakana | ココ
1555,U+1F202,🈂,Japanese “service charge” button,“service charge” | Japanese | Japanese “service charge” button | katakana | サ
1556,U+1F237,🈷,Japanese “monthly amount” button,“monthly amount” | ideograph | Japanese | Japanese “monthly amount” button | 月
1557,U+1F236,🈶,Japanese “not free of charge” button,“not free of charge” | ideograph | Japanese | Japanese “not free of charge” button | 有
1558,U+1F22F,🈯,Japanese “reserved” button,“reserved” | ideograph | Japanese | Japanese “reserved” button | 指
1559,U+1F250,🉐,Japanese “bargain” button,“bargain” | ideograph | Japanese | Japanese “bargain” button | 得
1560,U+1F239,🈹,Japanese “discount” button,“discount” | ideograph | Japanese | Japanese “discount” button | 割
1561,U+1F21A,🈚,Japanese “free of charge” button,“free of charge” | ideograph | Japanese | Japanese “free of charge” button | 無
1562,U+1F232,🈲,Japanese “prohibited” button,“prohibited” | ideograph | Japanese | Japanese “prohibited” button | 禁
1563,U+1F251,🉑,Japanese “acceptable” button,“acceptable” | ideograph | Japanese | Japanese “acceptable” button | 可
1564,U+1F238,🈸,Japanese “application” button,“application” | ideograph | Japanese | Japanese “application” button | 申
1565,U+1F234,🈴,Japanese “passing grade” button,“passing grade” | ideograph | Japanese | Japanese “passing grade” button | 合
1566,U+1F233,🈳,Japanese “vacancy” button,“vacancy” | ideograph | Japanese | Japanese “vacancy” button | 空
1567,U+3297,㊗,Japanese “congratulations” button,“congratulations” | ideograph | Japanese | Japanese “congratulations” button | 祝
1568,U+3299,㊙,Japanese “secret” button,“secret” | ideograph | Japanese | Japanese “secret” button | 秘
1569,U+1F23A,🈺,Japanese “open for business” button,“open for business” | ideograph | Japanese | Japanese “open for business” button | 営
1570,U+1F235,🈵,Japanese “no vacancy” button,“no vacancy” | ideograph | Japanese | Japanese “no vacancy” button | 満
1571,U+1F534,🔴,red circle,circle | geometric | red
1572,U+1F7E0,🟠,orange circle,circle | orange
1573,U+1F7E1,🟡,yellow circle,circle | yellow
1574,U+1F7E2,🟢,green circle,circle | green
1575,U+1F535,🔵,blue circle,blue | circle | geometric
1576,U+1F7E3,🟣,purple circle,circle | purple
1577,U+1F7E4,🟤,brown circle,brown | circle
1578,U+26AB,⚫,black circle,black circle | circle | geometric
1579,U+26AA,⚪,white circle,circle | geometric | white circle
1580,U+1F7E5,🟥,red square,red | square
1581,U+1F7E7,🟧,orange square,orange | square
1582,U+1F7E8,🟨,yellow square,square | yellow
1583,U+1F7E9,🟩,green square,green | square
1584,U+1F7E6,🟦,blue square,blue | square
1585,U+1F7EA,🟪,purple square,purple | square
1586,U+1F7EB,🟫,brown square,brown | square
1587,U+2B1B,⬛,black large square,black large square | geometric | square
1588,U+2B1C,⬜,white large square,geometric | square | white large square
1589,U+25FC,◼,black medium square,black medium square | geometric | square
1590,U+25FB,◻,white medium square,geometric | square | white medium square
1591,U+25FE,◾,black medium-small square,black medium-small square | geometric | square
1592,U+25FD,◽,white medium-small square,geometric | square | white medium-small square
1593,U+25AA,▪,black small square,black small square | geometric | square
1594,U+25AB,▫,white small square,geometric | square | white small square
1595,U+1F536,🔶,large orange diamond,diamond | geometric | large orange diamond | orange
1596,U+1F537,🔷,large blue diamond,blue | diamond | geometric | large blue diamond
1597,U+1F538,🔸,small orange diamond,diamond | geometric | orange | small orange diamond
1598,U+1F539,🔹,small blue diamond,blue | diamond | geometric | small blue diamond
1599,U+1F53A,🔺,red triangle pointed up,geometric | red | red triangle pointed up
1600,U+1F53B,🔻,red triangle pointed down,down | geometric | red | red triangle pointed down
1601,U+1F4A0,💠,diamond with a dot,comic | diamond | diamond with a dot | geometric | inside
1602,U+1F518,🔘,radio button,button | geometric | radio
1603,U+1F533,🔳,white square button,button | geometric | outlined | square | white square button
1604,U+1F532,🔲,black square button,black square button | button | geometric | square
1605,U+1F3C1,🏁,chequered flag,checkered | chequered | chequered flag | racing
1606,U+1F6A9,🚩,triangular flag,post | triangular flag
1607,U+1F38C,🎌,crossed flags,celebration | cross | crossed | crossed flags | Japanese
1608,U+1F3F4,🏴,black flag,black flag | waving
1609,U+1F3F3,🏳,white flag,waving | white flag
1610,U+1F3F3 U+FE0F U+200D U+1F308,🏳️‍🌈,rainbow flag,pride | rainbow | rainbow flag
1611,U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,🏳️‍⚧️,transgender flag,flag | light blue | pink | transgender | white
1612,U+1F3F4 U+200D U+2620 U+FE0F,🏴‍☠️,pirate flag,Jolly Roger | pirate | pirate flag | plunder | treasure
1613,U+1F1E6 U+1F1E8,🇦🇨,flag: Ascension Island,flag
1614,U+1F1E6 U+1F1E9,🇦🇩,flag: Andorra,flag
1615,U+1F1E6 U+1F1EA,🇦🇪,flag: United Arab Emirates,flag
1616,U+1F1E6 U+1F1EB,🇦🇫,flag: Afghanistan,flag
1617,U+1F1E6 U+1F1EC,🇦🇬,flag: Antigua & Barbuda,flag
1618,U+1F1E6 U+1F1EE,🇦🇮,flag: Anguilla,flag
1619,U+1F1E6 U+1F1F1,🇦🇱,flag: Albania,flag
1620,U+1F1E6 U+1F1F2,🇦🇲,flag: Armenia,flag
1621,U+1F1E6 U+1F1F4,🇦🇴,flag: Angola,flag
1622,U+1F1E6 U+1F1F6,🇦🇶,flag: Antarctica,flag
1623,U+1F1E6 U+1F1F7,🇦🇷,flag: Argentina,flag
1624,U+1F1E6 U+1F1F8,🇦🇸,flag: American Samoa,flag
1625,U+1F1E6 U+1F1F9,🇦🇹,flag: Austria,flag
1626,U+1F1E6 U+1F1FA,🇦🇺,flag: Australia,flag
1627,U+1F1E6 U+1F1FC,🇦🇼,flag: Aruba,flag
1628,U+1F1E6 U+1F1FD,🇦🇽,flag: Åland Islands,flag
1629,U+1F1E6 U+1F1FF,🇦🇿,flag: Azerbaijan,flag
1630,U+1F1E7 U+1F1E6,🇧🇦,flag: Bosnia & Herzegovina,flag
1631,U+1F1E7 U+1F1E7,🇧🇧,flag: Barbados,flag
1632,U+1F1E7 U+1F1E9,🇧🇩,flag: Bangladesh,flag
1633,U+1F1E7 U+1F1EA,🇧🇪,flag: Belgium,flag
1634,U+1F1E7 U+1F1EB,🇧🇫,flag: Burkina Faso,flag
1635,U+1F1E7 U+1F1EC,🇧🇬,flag: Bulgaria,flag
1636,U+1F1E7 U+1F1ED,🇧🇭,flag: Bahrain,flag
1637,U+1F1E7 U+1F1EE,🇧🇮,flag: Burundi,flag
1638,U+1F1E7 U+1F1EF,🇧🇯,flag: Benin,flag
1639,U+1F1E7 U+1F1F1,🇧🇱,flag: St. Barthélemy,flag
1640,U+1F1E7 U+1F1F2,🇧🇲,flag: Bermuda,flag
1641,U+1F1E7 U+1F1F3,🇧🇳,flag: Brunei,flag
1642,U+1F1E7 U+1F1F4,🇧🇴,flag: Bolivia,flag
1643,U+1F1E7 U+1F1F6,🇧🇶,flag: Caribbean Netherlands,flag
1644,U+1F1E7 U+1F1F7,🇧🇷,flag: Brazil,flag
1645,U+1F1E7 U+1F1F8,🇧🇸,flag: Bahamas,flag
1646,U+1F1E7 U+1F1F9,🇧🇹,flag: Bhutan,flag
1647,U+1F1E7 U+1F1FB,🇧🇻,flag: Bouvet Island,flag
1648,U+1F1E7 U+1F1FC,🇧🇼,flag: Botswana,flag
1649,U+1F1E7 U+1F1FE,🇧🇾,flag: Belarus,flag
1650,U+1F1E7 U+1F1FF,🇧🇿,flag: Belize,flag
1651,U+1F1E8 U+1F1E6,🇨🇦,flag: Canada,flag
1652,U+1F1E8 U+1F1E8,🇨🇨,flag: Cocos (Keeling) Islands,flag
1653,U+1F1E8 U+1F1E9,🇨🇩,flag: Congo - Kinshasa,flag
1654,U+1F1E8 U+1F1EB,🇨🇫,flag: Central African Republic,flag
1655,U+1F1E8 U+1F1EC,🇨🇬,flag: Congo - Brazzaville,flag
1656,U+1F1E8 U+1F1ED,🇨🇭,flag: Switzerland,flag
1657,U+1F1E8 U+1F1EE,🇨🇮,flag: Côte d’Ivoire,flag
1658,U+1F1E8 U+1F1F0,🇨🇰,flag: Cook Islands,flag
1659,U+1F1E8 U+1F1F1,🇨🇱,flag: Chile,flag
1660,U+1F1E8 U+1F1F2,🇨🇲,flag: Cameroon,flag
1661,U+1F1E8 U+1F1F3,🇨🇳,flag: China,flag
1662,U+1F1E8 U+1F1F4,🇨🇴,flag: Colombia,flag
1663,U+1F1E8 U+1F1F5,🇨🇵,flag: Clipperton Island,flag
1664,U+1F1E8 U+1F1F7,🇨🇷,flag: Costa Rica,flag
1665,U+1F1E8 U+1F1FA,🇨🇺,flag: Cuba,flag
1666,U+1F1E8 U+1F1FB,🇨🇻,flag: Cape Verde,flag
1667,U+1F1E8 U+1F1FC,🇨🇼,flag: Curaçao,flag
1668,U+1F1E8 U+1F1FD,🇨🇽,flag: Christmas Island,flag
1669,U+1F1E8 U+1F1FE,🇨🇾,flag: Cyprus,flag
1670,U+1F1E8 U+1F1FF,🇨🇿,flag: Czechia,flag
1671,U+1F1E9 U+1F1EA,🇩🇪,flag: Germany,flag
1672,U+1F1E9 U+1F1EC,🇩🇬,flag: Diego Garcia,flag
1673,U+1F1E9 U+1F1EF,🇩🇯,flag: Djibouti,flag
1674,U+1F1E9 U+1F1F0,🇩🇰,flag: Denmark,flag
1675,U+1F1E9 U+1F1F2,🇩🇲,flag: Dominica,flag
1676,U+1F1E9 U+1F1F4,🇩🇴,flag: Dominican Republic,flag
1677,U+1F1E9 U+1F1FF,🇩🇿,flag: Algeria,flag
1678,U+1F1EA U+1F1E6,🇪🇦,flag: Ceuta & Melilla,flag
1679,U+1F1EA U+1F1E8,🇪🇨,flag: Ecuador,flag
1680,U+1F1EA U+1F1EA,🇪🇪,flag: Estonia,flag
1681,U+1F1EA U+1F1EC,🇪🇬,flag: Egypt,flag
1682,U+1F1EA U+1F1ED,🇪🇭,flag: Western Sahara,flag
1683,U+1F1EA U+1F1F7,🇪🇷,flag: Eritrea,flag
1684,U+1F1EA U+1F1F8,🇪🇸,flag: Spain,flag
1685,U+1F1EA U+1F1F9,🇪🇹,flag: Ethiopia,flag
1686,U+1F1EA U+1F1FA,🇪🇺,flag: European Union,flag
1687,U+1F1EB U+1F1EE,🇫🇮,flag: Finland,flag
1688,U+1F1EB U+1F1EF,🇫🇯,flag: Fiji,flag
1689,U+1F1EB U+1F1F0,🇫🇰,flag: Falkland Islands,flag
1690,U+1F1EB U+1F1F2,🇫🇲,flag: Micronesia,flag
1691,U+1F1EB U+1F1F4,🇫🇴,flag: Faroe Islands,flag
1692,U+1F1EB U+1F1F7,🇫🇷,flag: France,flag
1693,U+1F1EC U+1F1E6,🇬🇦,flag: Gabon,flag
1694,U+1F1EC U+1F1E7,🇬🇧,flag: United Kingdom,flag
1695,U+1F1EC U+1F1E9,🇬🇩,flag: Grenada,flag
1696,U+1F1EC U+1F1EA,🇬🇪,flag: Georgia,flag
1697,U+1F1EC U+1F1EB,🇬🇫,flag: French Guiana,flag
1698,U+1F1EC U+1F1EC,🇬🇬,flag: Guernsey,flag
1699,U+1F1EC U+1F1ED,🇬🇭,flag: Ghana,flag
1700,U+1F1EC U+1F1EE,🇬🇮,flag: Gibraltar,flag
1701,U+1F1EC U+1F1F1,🇬🇱,flag: Greenland,flag
1702,U+1F1EC U+1F1F2,🇬🇲,flag: Gambia,flag
1703,U+1F1EC U+1F1F3,🇬🇳,flag: Guinea,flag
1704,U+1F1EC U+1F1F5,🇬🇵,flag: Guadeloupe,flag
1705,U+1F1EC U+1F1F6,🇬🇶,flag: Equatorial Guinea,flag
1706,U+1F1EC U+1F1F7,🇬🇷,flag: Greece,flag
1707,U+1F1EC U+1F1F8,🇬🇸,flag: South Georgia & South Sandwich Islands,flag
1708,U+1F1EC U+1F1F9,🇬🇹,flag: Guatemala,flag
1709,U+1F1EC U+1F1FA,🇬🇺,flag: Guam,flag
1710,U+1F1EC U+1F1FC,🇬🇼,flag: Guinea-Bissau,flag
1711,U+1F1EC U+1F1FE,🇬🇾,flag: Guyana,flag
1712,U+1F1ED U+1F1F0,🇭🇰,flag: Hong Kong SAR China,flag
1713,U+1F1ED U+1F1F2,🇭🇲,flag: Heard & McDonald Islands,flag
1714,U+1F1ED U+1F1F3,🇭🇳,flag: Honduras,flag
1715,U+1F1ED U+1F1F7,🇭🇷,flag: Croatia,flag
1716,U+1F1ED U+1F1F9,🇭🇹,flag: Haiti,flag
1717,U+1F1ED U+1F1FA,🇭🇺,flag: Hungary,flag
1718,U+1F1EE U+1F1E8,🇮🇨,flag: Canary Islands,flag
1719,U+1F1EE U+1F1E9,🇮🇩,flag: Indonesia,flag
1720,U+1F1EE U+1F1EA,🇮🇪,flag: Ireland,flag
1721,U+1F1EE U+1F1F1,🇮🇱,flag: Israel,flag
1722,U+1F1EE U+1F1F2,🇮🇲,flag: Isle of Man,flag
1723,U+1F1EE U+1F1F3,🇮🇳,flag: India,flag
1724,U+1F1EE U+1F1F4,🇮🇴,flag: British Indian Ocean Territory,flag
1725,U+1F1EE U+1F1F6,🇮🇶,flag: Iraq,flag
1726,U+1F1EE U+1F1F7,🇮🇷,flag: Iran,flag
1727,U+1F1EE U+1F1F8,🇮🇸,flag: Iceland,flag
1728,U+1F1EE U+1F1F9,🇮🇹,flag: Italy,flag
1729,U+1F1EF U+1F1EA,🇯🇪,flag: Jersey,flag
1730,U+1F1EF U+1F1F2,🇯🇲,flag: Jamaica,flag
1731,U+1F1EF U+1F1F4,🇯🇴,flag: Jordan,flag
1732,U+1F1EF U+1F1F5,🇯🇵,flag: Japan,flag
1733,U+1F1F0 U+1F1EA,🇰🇪,flag: Kenya,flag
1734,U+1F1F0 U+1F1EC,🇰🇬,flag: Kyrgyzstan,flag
1735,U+1F1F0 U+1F1ED,🇰🇭,flag: Cambodia,flag
1736,U+1F1F0 U+1F1EE,🇰🇮,flag: Kiribati,flag
1737,U+1F1F0 U+1F1F2,🇰🇲,flag: Comoros,flag
1738,U+1F1F0 U+1F1F3,🇰🇳,flag: St. Kitts & Nevis,flag
1739,U+1F1F0 U+1F1F5,🇰🇵,flag: North Korea,flag
1740,U+1F1F0 U+1F1F7,🇰🇷,flag: South Korea,flag
1741,U+1F1F0 U+1F1FC,🇰🇼,flag: Kuwait,flag
1742,U+1F1F0 U+1F1FE,🇰🇾,flag: Cayman Islands,flag
1743,U+1F1F0 U+1F1FF,🇰🇿,flag: Kazakhstan,flag
1744,U+1F1F1 U+1F1E6,🇱🇦,flag: Laos,flag
1745,U+1F1F1 U+1F1E7,🇱🇧,flag: Lebanon,flag
1746,U+1F1F1 U+1F1E8,🇱🇨,flag: St. Lucia,flag
1747,U+1F1F1 U+1F1EE,🇱🇮,flag: Liechtenstein,flag
1748,U+1F1F1 U+1F1F0,🇱🇰,flag: Sri Lanka,flag
1749,U+1F1F1 U+1F1F7,🇱🇷,flag: Liberia,flag
1750,U+1F1F1 U+1F1F8,🇱🇸,flag: Lesotho,flag
1751,U+1F1F1 U+1F1F9,🇱🇹,flag: Lithuania,flag
1752,U+1F1F1 U+1F1FA,🇱🇺,flag: Luxembourg,flag
1753,U+1F1F1 U+1F1FB,🇱🇻,flag: Latvia,flag
1754,U+1F1F1 U+1F1FE,🇱🇾,flag: Libya,flag
1755,U+1F1F2 U+1F1E6,🇲🇦,flag: Morocco,flag
1756,U+1F1F2 U+1F1E8,🇲🇨,flag: Monaco,flag
1757,U+1F1F2 U+1F1E9,🇲🇩,flag: Moldova,flag
1758,U+1F1F2 U+1F1EA,🇲🇪,flag: Montenegro,flag
1759,U+1F1F2 U+1F1EB,🇲🇫,flag: St. Martin,flag
1760,U+1F1F2 U+1F1EC,🇲🇬,flag: Madagascar,flag
1761,U+1F1F2 U+1F1ED,🇲🇭,flag: Marshall Islands,flag
1762,U+1F1F2 U+1F1F0,🇲🇰,flag: North Macedonia,flag
1763,U+1F1F2 U+1F1F1,🇲🇱,flag: Mali,flag
1764,U+1F1F2 U+1F1F2,🇲🇲,flag: Myanmar (Burma),flag
1765,U+1F1F2 U+1F1F3,🇲🇳,flag: Mongolia,flag
1766,U+1F1F2 U+1F1F4,🇲🇴,flag: Macao SAR China,flag
1767,U+1F1F2 U+1F1F5,🇲🇵,flag: Northern Mariana Islands,flag
1768,U+1F1F2 U+1F1F6,🇲🇶,flag: Martinique,flag
1769,U+1F1F2 U+1F1F7,🇲🇷,flag: Mauritania,flag
1770,U+1F1F2 U+1F1F8,🇲🇸,flag: Montserrat,flag
1771,U+1F1F2 U+1F1F9,🇲🇹,flag: Malta,flag
1772,U+1F1F2 U+1F1FA,🇲🇺,flag: Mauritius,flag
1773,U+1F1F2 U+1F1FB,🇲🇻,flag: Maldives,flag
1774,U+1F1F2 U+1F1FC,🇲🇼,flag: Malawi,flag
1775,U+1F1F2 U+1F1FD,🇲🇽,flag: Mexico,flag
1776,U+1F1F2 U+1F1FE,🇲🇾,flag: Malaysia,flag
1777,U+1F1F2 U+1F1FF,🇲🇿,flag: Mozambique,flag
1778,U+1F1F3 U+1F1E6,🇳🇦,flag: Namibia,flag
1779,U+1F1F3 U+1F1E8,🇳🇨,flag: New Caledonia,flag
1780,U+1F1F3 U+1F1EA,🇳🇪,flag: Niger,flag
1781,U+1F1F3 U+1F1EB,🇳🇫,flag: Norfolk Island,flag
1782,U+1F1F3 U+1F1EC,🇳🇬,flag: Nigeria,flag
1783,U+1F1F3 U+1F1EE,🇳🇮,flag: Nicaragua,flag
1784,U+1F1F3 U+1F1F1,🇳🇱,flag: Netherlands,flag
1785,U+1F1F3 U+1F1F4,🇳🇴,flag: Norway,flag
1786,U+1F1F3 U+1F1F5,🇳🇵,flag: Nepal,flag
1787,U+1F1F3 U+1F1F7,🇳🇷,flag: Nauru,flag
1788,U+1F1F3 U+1F1FA,🇳🇺,flag: Niue,flag
1789,U+1F1F3 U+1F1FF,🇳🇿,flag: New Zealand,flag
1790,U+1F1F4 U+1F1F2,🇴🇲,flag: Oman,flag
1791,U+1F1F5 U+1F1E6,🇵🇦,flag: Panama,flag
1792,U+1F1F5 U+1F1EA,🇵🇪,flag: Peru,flag
1793,U+1F1F5 U+1F1EB,🇵🇫,flag: French Polynesia,flag
1794,U+1F1F5 U+1F1EC,🇵🇬,flag: Papua New Guinea,flag
1795,U+1F1F5 U+1F1ED,🇵🇭,flag: Philippines,flag
1796,U+1F1F5 U+1F1F0,🇵🇰,flag: Pakistan,flag
1797,U+1F1F5 U+1F1F1,🇵🇱,flag: Poland,flag
1798,U+1F1F5 U+1F1F2,🇵🇲,flag: St. Pierre & Miquelon,flag
1799,U+1F1F5 U+1F1F3,🇵🇳,flag: Pitcairn Islands,flag
1800,U+1F1F5 U+1F1F7,🇵🇷,flag: Puerto Rico,flag
1801,U+1F1F5 U+1F1F8,🇵🇸,flag: Palestinian Territories,flag
1802,U+1F1F5 U+1F1F9,🇵🇹,flag: Portugal,flag
1803,U+1F1F5 U+1F1FC,🇵🇼,flag: Palau,flag
1804,U+1F1F5 U+1F1FE,🇵🇾,flag: Paraguay,flag
1805,U+1F1F6 U+1F1E6,🇶🇦,flag: Qatar,flag
1806,U+1F1F7 U+1F1EA,🇷🇪,flag: Réunion,flag
1807,U+1F1F7 U+1F1F4,🇷🇴,flag: Romania,flag
1808,U+1F1F7 U+1F1F8,🇷🇸,flag: Serbia,flag
1809,U+1F1F7 U+1F1FA,🇷🇺,flag: Russia,flag
1810,U+1F1F7 U+1F1FC,🇷🇼,flag: Rwanda,flag
1811,U+1F1F8 U+1F1E6,🇸🇦,flag: Saudi Arabia,flag
1812,U+1F1F8 U+1F1E7,🇸🇧,flag: Solomon Islands,flag
1813,U+1F1F8 U+1F1E8,🇸🇨,flag: Seychelles,flag
1814,U+1F1F8 U+1F1E9,🇸🇩,flag: Sudan,flag
1815,U+1F1F8 U+1F1EA,🇸🇪,flag: Sweden,flag
1816,U+1F1F8 U+1F1EC,🇸🇬,flag: Singapore,flag
1817,U+1F1F8 U+1F1ED,🇸🇭,flag: St. Helena,flag
1818,U+1F1F8 U+1F1EE,🇸🇮,flag: Slovenia,flag
1819,U+1F1F8 U+1F1EF,🇸🇯,flag: Svalbard & Jan Mayen,flag
1820,U+1F1F8 U+1F1F0,🇸🇰,flag: Slovakia,flag
1821,U+1F1F8 U+1F1F1,🇸🇱,flag: Sierra Leone,flag
1822,U+1F1F8 U+1F1F2,🇸🇲,flag: San Marino,flag
1823,U+1F1F8 U+1F1F3,🇸🇳,flag: Senegal,flag
1824,U+1F1F8 U+1F1F4,🇸🇴,flag: Somalia,flag
1825,U+1F1F8 U+1F1F7,🇸🇷,flag: Suriname,flag
1826,U+1F1F8 U+1F1F8,🇸🇸,flag: South Sudan,flag
1827,U+1F1F8 U+1F1F9,🇸🇹,flag: São Tomé & Príncipe,flag
1828,U+1F1F8 U+1F1FB,🇸🇻,flag: El Salvador,flag
1829,U+1F1F8 U+1F1FD,🇸🇽,flag: Sint Maarten,flag
1830,U+1F1F8 U+1F1FE,🇸🇾,flag: Syria,flag
1831,U+1F1F8 U+1F1FF,🇸🇿,flag: Eswatini,flag
1832,U+1F1F9 U+1F1E6,🇹🇦,flag: Tristan da Cunha,flag
1833,U+1F1F9 U+1F1E8,🇹🇨,flag: Turks & Caicos Islands,flag
1834,U+1F1F9 U+1F1E9,🇹🇩,flag: Chad,flag
1835,U+1F1F9 U+1F1EB,🇹🇫,flag: French Southern Territories,flag
1836,U+1F1F9 U+1F1EC,🇹🇬,flag: Togo,flag
1837,U+1F1F9 U+1F1ED,🇹🇭,flag: Thailand,flag
1838,U+1F1F9 U+1F1EF,🇹🇯,flag: Tajikistan,flag
1839,U+1F1F9 U+1F1F0,🇹🇰,flag: Tokelau,flag
1840,U+1F1F9 U+1F1F1,🇹🇱,flag: Timor-Leste,flag
1841,U+1F1F9 U+1F1F2,🇹🇲,flag: Turkmenistan,flag
1842,U+1F1F9 U+1F1F3,🇹🇳,flag: Tunisia,flag
1843,U+1F1F9 U+1F1F4,🇹🇴,flag: Tonga,flag
1844,U+1F1F9 U+1F1F7,🇹🇷,flag: Turkey,flag
1845,U+1F1F9 U+1F1F9,🇹🇹,flag: Trinidad & Tobago,flag
1846,U+1F1F9 U+1F1FB,🇹🇻,flag: Tuvalu,flag
1847,U+1F1F9 U+1F1FC,🇹🇼,flag: Taiwan,flag
1848,U+1F1F9 U+1F1FF,🇹🇿,flag: Tanzania,flag
1849,U+1F1FA U+1F1E6,🇺🇦,flag: Ukraine,flag
1850,U+1F1FA U+1F1EC,🇺🇬,flag: Uganda,flag
1851,U+1F1FA U+1F1F2,🇺🇲,flag: U.S. Outlying Islands,flag
1852,U+1F1FA U+1F1F3,🇺🇳,flag: United Nations,flag
1853,U+1F1FA U+1F1F8,🇺🇸,flag: United States,flag
1854,U+1F1FA U+1F1FE,🇺🇾,flag: Uruguay,flag
1855,U+1F1FA U+1F1FF,🇺🇿,flag: Uzbekistan,flag
1856,U+1F1FB U+1F1E6,🇻🇦,flag: Vatican City,flag
1857,U+1F1FB U+1F1E8,🇻🇨,flag: St. Vincent & Grenadines,flag
1858,U+1F1FB U+1F1EA,🇻🇪,flag: Venezuela,flag
1859,U+1F1FB U+1F1EC,🇻🇬,flag: British Virgin Islands,flag
1860,U+1F1FB U+1F1EE,🇻🇮,flag: U.S. Virgin Islands,flag
1861,U+1F1FB U+1F1F3,🇻🇳,flag: Vietnam,flag
1862,U+1F1FB U+1F1FA,🇻🇺,flag: Vanuatu,flag
1863,U+1F1FC U+1F1EB,🇼🇫,flag: Wallis & Futuna,flag
1864,U+1F1FC U+1F1F8,🇼🇸,flag: Samoa,flag
1865,U+1F1FD U+1F1F0,🇽🇰,flag: Kosovo,flag
1866,U+1F1FE U+1F1EA,🇾🇪,flag: Yemen,flag
1867,U+1F1FE U+1F1F9,🇾🇹,flag: Mayotte,flag
1868,U+1F1FF U+1F1E6,🇿🇦,flag: South Africa,flag
1869,U+1F1FF U+1F1F2,🇿🇲,flag: Zambia,flag
1870,U+1F1FF U+1F1FC,🇿🇼,flag: Zimbabwe,flag
1871,U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F,🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag: England,flag
1872,U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F,🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag: Scotland,flag
1873,U+1F3F4 U+E0067 U+E0062 U+E0077 U+E006C U+E0073 U+E007F,🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag: Wales,flag
