,code,smiley,CLDR,keywords
587,U+1F994,🦔,hedgehog,hedgehog | spiny
588,U+1F987,🦇,bat,bat | vampire
589,U+1F43B,🐻,bear,bear | face
590,U+1F43B U+200D U+2744 U+FE0F,🐻‍❄️,polar bear,arctic | bear | polar bear | white
591,U+1F428,🐨,koala,face | koala | marsupial
592,U+1F43C,🐼,panda,face | panda
593,U+1F9A5,🦥,sloth,lazy | sloth | slow
594,U+1F9A6,🦦,otter,fishing | otter | playful
595,U+1F9A8,🦨,skunk,skunk | stink
596,U+1F998,🦘,kangaroo,Australia | joey | jump | kangaroo | marsupial
597,U+1F9A1,🦡,badger,badger | honey badger | pester
598,U+1F43E,🐾,paw prints,feet | paw | paw prints | print
599,U+1F983,🦃,turkey,bird | turkey
600,U+1F414,🐔,chicken,bird | chicken
601,U+1F413,🐓,rooster,bird | rooster
602,U+1F423,🐣,hatching chick,baby | bird | chick | hatching
603,U+1F424,🐤,baby chick,baby | bird | chick
604,U+1F425,🐥,front-facing baby chick,baby | bird | chick | front-facing baby chick
605,U+1F426,🐦,bird,bird
606,U+1F427,🐧,penguin,bird | penguin
607,U+1F54A,🕊,dove,bird | dove | fly | peace
608,U+1F985,🦅,eagle,bird | eagle
609,U+1F986,🦆,duck,bird | duck
610,U+1F9A2,🦢,swan,bird | cygnet | swan | ugly duckling
611,U+1F989,🦉,owl,bird | owl | wise
612,U+1F9A4,🦤,dodo,dodo | extinction | large | Mauritius
613,U+1FAB6,🪶,feather,bird | feather | flight | light | plumage
614,U+1F9A9,🦩,flamingo,flamboyant | flamingo | tropical
615,U+1F99A,🦚,peacock,bird | ostentatious | peacock | peahen | proud
616,U+1F99C,🦜,parrot,bird | parrot | pirate | talk
617,U+1FABD,🪽,⊛ wing,angelic | aviation | bird | flying | mythology | wing
618,U+1F426 U+200D U+2B1B,🐦‍⬛,⊛ black bird,bird | black | crow | raven | rook
619,U+1FABF,🪿,⊛ goose,bird | fowl | goose | honk | silly
620,U+1F438,🐸,frog,face | frog
621,U+1F40A,🐊,crocodile,crocodile
622,U+1F422,🐢,turtle,terrapin | tortoise | turtle
623,U+1F98E,🦎,lizard,lizard | reptile
624,U+1F40D,🐍,snake,bearer | Ophiuchus | serpent | snake | zodiac
625,U+1F432,🐲,dragon face,dragon | face | fairy tale
626,U+1F409,🐉,dragon,dragon | fairy tale
627,U+1F995,🦕,sauropod,brachiosaurus | brontosaurus | diplodocus | sauropod
628,U+1F996,🦖,T-Rex,T-Rex | Tyrannosaurus Rex
629,U+1F433,🐳,spouting whale,face | spouting | whale
630,U+1F40B,🐋,whale,whale
631,U+1F42C,🐬,dolphin,dolphin | flipper
632,U+1F9AD,🦭,seal,sea lion | seal
633,U+1F41F,🐟,fish,fish | Pisces | zodiac
634,U+1F420,🐠,tropical fish,fish | tropical
635,U+1F421,🐡,blowfish,blowfish | fish
636,U+1F988,🦈,shark,fish | shark
637,U+1F419,🐙,octopus,octopus
638,U+1F41A,🐚,spiral shell,shell | spiral
639,U+1FAB8,🪸,coral,coral | ocean | reef
640,U+1FABC,🪼,⊛ jellyfish,burn | invertebrate | jelly | jellyfish | marine | ouch | stinger
641,U+1F40C,🐌,snail,snail
642,U+1F98B,🦋,butterfly,butterfly | insect | pretty
643,U+1F41B,🐛,bug,bug | insect
644,U+1F41C,🐜,ant,ant | insect
645,U+1F41D,🐝,honeybee,bee | honeybee | insect
646,U+1FAB2,🪲,beetle,beetle | bug | insect
647,U+1F41E,🐞,lady beetle,beetle | insect | lady beetle | ladybird | ladybug
648,U+1F997,🦗,cricket,cricket | grasshopper | Orthoptera
649,U+1FAB3,🪳,cockroach,cockroach | insect | pest | roach
650,U+1F577,🕷,spider,insect | spider
651,U+1F578,🕸,spider web,spider | web
